24.09.2024 21:17:49-log: Cannot access game frame or container.
24.09.2024 21:17:49-debug: asset-db:require-engine-code (1124ms)
24.09.2024 21:17:50-log: Cocos Creator v3.8.1
24.09.2024 21:17:50-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:20.37MB, end 91.57MB, increase: 71.20MB
24.09.2024 21:17:50-debug: [Assets Memory track]: asset-db-plugin-register: programming start:92.37MB, end 95.76MB, increase: 3.39MB
24.09.2024 21:17:50-debug: [Assets Memory track]: asset-db-plugin-register: engine-extends start:95.81MB, end 99.40MB, increase: 3.59MB
24.09.2024 21:17:50-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:91.58MB, end 99.41MB, increase: 7.83MB
24.09.2024 21:17:50-debug: [Assets Memory track]: asset-db-plugin-enable: project start:95.98MB, end 99.41MB, increase: 3.43MB
24.09.2024 21:17:50-debug: asset-db:worker-init: initPlugin (102ms)
24.09.2024 21:17:50-debug: [Assets Memory track]: asset-db:worker-init start:20.37MB, end 93.96MB, increase: 73.60MB
24.09.2024 21:17:50-debug: Run asset db hook programming:beforePreStart success!
24.09.2024 21:17:50-debug: Run asset db hook engine-extends:beforePreStart success!
24.09.2024 21:17:50-debug: Run asset db hook engine-extends:beforePreStart ...
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: Run asset db hook programming:beforePreStart ...
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: asset-db:worker-init (2256ms)
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\dependenciesbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\effectsbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\gizmobackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\physicsbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.1\resources\resources\3d\engine\editor\assets\toolsbackground: #aaff85; color: #000;color: #000;
24.09.2024 21:17:50-debug: asset-db-hook-programming-beforePreStart (517ms)
24.09.2024 21:17:50-debug: asset-db-hook-engine-extends-beforePreStart (516ms)
